# ID Distance
ic1954   15.2000
ic5273   14.7000
ic5332   9.95000
ngc0628  9.77000
ngc0685  16.0000
ngc1087  14.4000
ngc1097  14.2000
ngc1300  26.1000
ngc1317  19.0000
ngc1365  18.1000
ngc1385  22.7000
ngc1433  16.8000
ngc1511  15.6000
ngc1512  16.8000
ngc1546  18.0000
ngc1559  19.8000
ngc1566  18.0000
ngc1637  9.77000
ngc1672  11.9000
ngc1792  12.8000
ngc1809  15.0000
ngc2090  11.8000
ngc2283  10.4000
ngc2566  23.7000
ngc2775  17.0000
ngc2835  10.1000
ngc2903  8.47000
ngc2997  11.3000
ngc3059  19.8000
ngc3137  14.9000
ngc3351  10.0000
ngc3507  20.9000
ngc3511  9.95000
ngc3521  11.2000
ngc3596  10.1000
ngc3621  6.56000
ngc3626  20.0000
ngc3627  10.5700
ngc4207  16.8000
ngc4254  16.8000
ngc4293  16.0000
ngc4298  16.8000
ngc4303  17.6000
ngc4321  15.2000
ngc4424  16.4000
ngc4457  15.6000
ngc4496a 14.9000
ngc4535  15.8000
ngc4536  15.2000
ngc4540  16.8000
ngc4548  16.2000
ngc4569  16.8000
ngc4571  14.9000
ngc4579  16.8000
ngc4654  16.8000
ngc4689  16.8000
ngc4694  16.8000
ngc4731  12.4000
ngc4781  15.3000
ngc4826  4.36000
ngc4941  14.0000
ngc4951  12.0000
ngc5042  12.6000
ngc5068  5.16000
ngc5128  3.57000
ngc5134  18.5000
ngc5248  12.7000
ngc5530  11.8000
ngc5643  11.8000
ngc6300  13.1000
ngc6744  11.6000
ngc7456  7.94000
ngc7496  18.7000
